STT,Nhom Thiet Bi,Dia Chi PLC,Ky Hieu (Symbol Tag),Hang San Xuat (OEM),Ma Dat Hang (Part Number),Ma Tuong Duong Du Phong,Dai Do / Thong So Ky Thuat,Tin Hieu / Dien Ap,Ren / Ket Noi Co Khi & Giac Dien,Chuc Nang Ky Thuat
1,Cam Bien Ap Suat,PIW 406,JacksPresSens_PP,HYDAC,HDA 4744-A-400-000,Trafag NAH 8254.83 / WIKA S-20,0 - 400 bar (Qua tai 800 bar),4 - 20 mA (2 day loop),Ren G 1/4" DIN 3852-E / Giac DIN Form A,Do ap suat dau tram 4 xi lanh kich day chinh tai Container
2,Cam Bien Ap Suat,PIW 410,CutterPresSens_PP,HYDAC,HDA 4744-A-400-000,Trafag NAH 8254.83 / Keller PA-21Y,0 - 400 bar (Qua tai 800 bar),4 - 20 mA (2 day loop),Ren G 1/4" / Giac DIN Form A,Do ap luc cum bom nguon thuy luc mam cat Schurfrad
3,Cam Bien Ap Suat,PIW 378,PresSensor_Cutter,HYDAC,HDA 4745-A-350-000,Trafag NAT 8252.82 / WIKA IS-3,0 - 350 bar (Cap bao ve IP67),4 - 20 mA,Ren G 1/4" A / Giac M12x1 4-Pin duc,Do truc tiep ap luc thuy luc tren dia mam cat dau khien
4,Cam Bien Ap Suat,PIW 364,PresSensor_Cyl1,HYDAC,HDA 4745-A-350-000,Trafag NAH 8254.82 / Gefran TK-E,0 - 350 bar (Qua tai 700 bar),4 - 20 mA,Ren G 1/4" / Giac M12x1 4-Pin,Do ap luc nen xi lanh be lai so 1 (Dinh tren 0 do)
5,Cam Bien Ap Suat,PIW 366,PresSensor_Cyl2,HYDAC,HDA 4745-A-350-000,Trafag NAH 8254.82 / Gefran TK-E,0 - 350 bar (Qua tai 700 bar),4 - 20 mA,Ren G 1/4" / Giac M12x1 4-Pin,Do ap luc nen xi lanh be lai so 2 (Phai 120 do)
6,Cam Bien Ap Suat,PIW 368,PresSensor_Cyl3,HYDAC,HDA 4745-A-350-000,Trafag NAH 8254.82 / Gefran TK-E,0 - 350 bar (Qua tai 700 bar),4 - 20 mA,Ren G 1/4" / Giac M12x1 4-Pin,Do ap luc nen xi lanh be lai so 3 (Trai 240 do)
7,Cam Bien Ap Suat,PIW 362,PresSensor_SteerFeed,HYDAC,HDA 4745-A-250-000,Trafag NAT 8252.81 / WIKA S-20,0 - 250 bar,4 - 20 mA,Ren G 1/4" / Giac M12x1 4-Pin,Do ap suat duong nguon cap bom lai dau khien
8,Cam Bien Ap Suat,PIW 338,Pres_Inter1,HYDAC,HDA 4745-A-400-000,Trafag NAH 8254.83 / Keller PA-21Y,0 - 400 bar (Qua tai 800 bar),4 - 20 mA,Ren G 1/4" / Giac M12x1 4-Pin,Do ap suat dau thuy luc tram kich trung gian Dehner 1
9,Cam Bien Ap Suat,PIW 346,Pres_Inter2,HYDAC,HDA 4745-A-400-000,Trafag NAH 8254.83 / Keller PA-21Y,0 - 400 bar (Qua tai 800 bar),4 - 20 mA,Ren G 1/4" / Giac M12x1 4-Pin,Do ap suat dau thuy luc tram kich trung gian Dehner 2
10,Cam Bien Ap Suat,PIW 382,Pres_Inter3,HYDAC,HDA 4745-A-400-000,Trafag NAH 8254.83 / Keller PA-21Y,0 - 400 bar (Qua tai 800 bar),4 - 20 mA,Ren G 1/4" / Giac M12x1 4-Pin,Do ap suat dau thuy luc tram kich trung gian Dehner 3
